,id,permit_price,emission_cap,BAU_emissions
count,1.0,1.0,1.0,1.0
mean,1.0,21.78075557086023,14111.102190024796,17638.877737530995
std,,,,
min,1.0,21.78075557086023,14111.102190024796,17638.877737530995
25%,1.0,21.78075557086023,14111.102190024796,17638.877737530995
50%,1.0,21.78075557086023,14111.102190024796,17638.877737530995
75%,1.0,21.78075557086023,14111.102190024796,17638.877737530995
max,1.0,21.78075557086023,14111.102190024796,17638.877737530995
