"","GEO","Total_energy_supply","GDPpc","Population","Inflation","Verified_emissions","Agriculture","Industry","Manufacturing"
"1","Austria",0.824844550567273,0.927390284297995,0.877114721383135,0.212957619503813,0.866675505028568,0.417567159205957,0.679230346762831,0.649875049940137
"2","Belgium",0.862477505251715,0.92131390175671,0.891209828414909,0.386048870235385,0.884961208489795,0.305131689647169,0.667305532891738,0.636471856626719
"3","Bulgaria",0.777423928697629,0.777947761940293,0.865168956359478,1,0.87234625859186,0.239233529484173,0.393883975857822,0.340346569262637
"4","Croatia",0.717262987790338,0.819981405386706,0.835561564731666,0.246252348713267,0.800275635560636,0.161653791334999,0.36024724079056,0.295305532387159
"5","Cyprus",0.61040943460328,0.877606230951177,0.766900542396653,0.21989139213145,0.772114912608907,-0.202293168106411,0.163902352139423,0.0467675774354636
"6","Denmark",0.769383670981692,0.94413970962724,0.853929392988359,0.250671768498085,0.83176428720858,0.409768469989016,0.624242141705719,0.596704718322619
"7","Estonia",0.68562979462216,0.854879220956115,0.772956451666986,0.750805117261752,0.828577095368518,-0.104941993760676,0.280279275006615,0.21008845325552
"8","Finland",0.823709052603137,0.925523253477237,0.851430175943067,0.173668536411116,0.857545848947458,0.501476524224092,0.603151448042349,0.55870481048022
"9","France",0.98232123725046,0.910051296482629,0.988413120302486,0.110728486645182,0.930020569241606,1,0.875859738988363,0.841134374439255
"10","Germany",1,0.922194336646689,1,0.317686113547156,1,0.880567844437923,1,1
"11","Greece",0.795181376636566,0.846680570163979,0.888133015868062,0.0606618092033804,0.890678259164125,0.553683449356403,0.482695573776587,0.430698699500527
"12","Hungary",0.804787149055321,0.826047055758012,0.882966468513139,0.840810756030283,0.850495187472005,0.44734721391151,0.527209365723278,0.505463423790762
"13","Ireland",0.752410636034872,0.960639636420742,0.84396528493602,0.196161024534934,0.861853138184903,0.359301195018052,0.734332015344393,0.761698027296665
"14","Italy",0.945145118991032,0.894584798644305,0.982915742805693,0.154042377526636,0.947543546698921,0.971654627192955,0.868102353216019,0.860180074261842
"15","Latvia",0.663272955537358,0.83213717804008,0.794250672140873,0.618254772509151,0.73816323132509,0.0790574909941279,0.270631559598009,0.198151438013365
"16","Lithuania",0.706144406499998,0.838433501081919,0.814868436516411,0.884570523133222,0.786436225301309,0.158361199882716,0.382271826012619,0.333183189618495
"17","Luxembourg",0.650546871955069,1,0.72947922566882,0.451295808142428,0.721537464535665,-0.513060144457705,0.30412990236611,0.185740077042547
"18","Malta",0.516126478473369,0.884592324526291,0.716186010387953,0.441977582832036,0.692973075439531,-0.754100539337283,0.099820840621632,0.0169579606033179
"19","Netherlands",0.887202076432518,0.929623957122239,0.913671177416376,0.266662327759038,0.92183448070374,0.717320691459602,0.735072447717532,0.700961064358128
"20","Poland",0.913335223351929,0.821456307951533,0.957335868938997,0.392198899138582,0.960400139588714,0.722618680406065,0.737347599041225,0.695857880183186
"21","Portugal",0.795027893467507,0.859205088423387,0.885765084043043,0.319399465208766,0.866705938207035,0.419367589878083,0.547381497595295,0.504172134909048
"22","Romania",0.822799596438615,0.799996359012456,0.92102417379883,0.973356309128974,0.880714760697399,0.615180713710952,0.607260790374916,0.565619325215186
"23","Slovenia",0.698355740252691,0.866956116047092,0.797649211715381,0.30936482454833,0.788919023397978,0.0316380056706751,0.398069339079619,0.367342323727986
"24","Spain",0.92814021616693,0.882517409379654,0.968555263163206,0.27482655784282,0.942042560506577,0.984579414063781,0.803559658567495,0.755365991204122
"25","Sweden",0.854199264112442,0.938232534776211,0.884457654811627,0.449680360588173,0.850070763760384,0.541661726580643,0.684067645317874,0.638419506648737
"26","United Kingdom",0.953988381565439,0.914544404902441,0.987704289169549,0.383643507581846,0.945019382286094,0.750294505031424,0.888680264426113,0.836497365983586
