"","GEO","Total_energy_supply","GDPpc","Population","Inflation","Verified_emissions","Agriculture","Industry","Manufacturing"
"1","Austria",0.106498386527586,0.419068596458778,0.105803128495562,0.298821145665534,0.0656592070015514,0.113254666768049,0.108399817128685,0.100890543005248
"2","Belgium",0.1684660928406,0.388844245325923,0.138017673422637,0.172773184239138,0.0989497761974374,0.0743783979013801,0.0998056501742379,0.0924095143625094
"3","Bulgaria",0.0596761320229838,0.0670827421702362,0.0878723074947986,0.382690136916138,0.0785866083586485,0.0581326274569441,0.0150183067528961,0.0132801500703955
"4","Croatia",0.027050481729436,0.113153325124387,0.0514601346357728,0.0103446253520044,0.0180447306980504,0.0434931376649051,0.0118968386023295,0.00988679581649632
"5","Cyprus",0.0066257987637308,0.221959882263806,0.0142126963744401,-0.0979259337564226,0.00940758449717473,0.0111512945291412,0.00305328383511757,0.00194059008794866
"6","Denmark",0.0528058305574024,0.504967192329117,0.0695766776271328,0.0562402891981339,0.035133726206356,0.109999334676653,0.0740640599001664,0.0712154422116985
"7","Estonia",0.0154840198105625,0.165007638020365,0.0161030918518581,0.134599440948714,0.0257516010698414,0.0160485495951032,0.00683697375443443,0.00565720936717193
"8","Finland",0.103272496258519,0.405851425027707,0.0670799159485267,0.209961886644846,0.0568901420647602,0.155001330646694,0.063997111732019,0.0555213037794153
"9","France",0.820109217205231,0.347546205466593,0.81467784237003,0.147820936319996,0.22303721965948,1,0.423203073493862,0.353189110182663
"10","Germany",1,0.389744661482024,1,0.240731654863492,1,0.63977493061628,1,1
"11","Greece",0.0750273807003397,0.171472907202987,0.132468257252097,-0.0381458738410023,0.109370450453187,0.188419571911949,0.0277838822088971,0.0240030352343164
"12","Hungary",0.0807157159352156,0.120618900458951,0.120497446025763,0.360582624735916,0.0456346129406965,0.126596776033152,0.0378184550905723,0.0391724929604505
"13","Ireland",0.0432336671680785,0.588007789451194,0.0575609263554832,1,0.054571702772284,0.0910803900695738,0.158778215552695,0.209894423899728
"14","Italy",0.492008678994529,0.28676094220489,0.743458214957651,0.121018292020922,0.340407144537819,0.899422119149907,0.401062694251719,0.400124106342908
"15","Latvia",0.0137772060975922,0.130724385587915,0.0242087041657292,0.0150563596629069,0.00571890786822208,0.0319355206630422,0.00639500204062412,0.0052316651734289
"16","Lithuania",0.0229060487048569,0.135252156187279,0.0355616417970872,0.00827029028382164,0.0148479284006349,0.0429608789871878,0.0138576036794023,0.0126713318919018
"17","Luxembourg",0.0119978116917886,1,0.00697303992694715,0.288198288145692,0.004104289072346,0.00348819526289777,0.00806517439487646,0.0048231198917555
"18","Malta",0.00206980425074861,0.236308819503792,0.00544829800810319,0.548054021538176,0.00246423458492464,0.001416188267498,0.00195880293849873,0.00159632640653855
"19","Netherlands",0.234041171815641,0.428527790109706,0.207376983726256,0.100351835565573,0.207517604813301,0.347450861118504,0.159594661413368,0.140992690753506
"20","Poland",0.307077424110889,0.119270391204349,0.465026171792095,0.126494093390967,0.428823157600347,0.354403490096187,0.162129744451072,0.136356987438518
"21","Portugal",0.0726979874382641,0.182531188485967,0.126802616404297,0.262326582156176,0.0629126407591234,0.114019788617268,0.0434898204250777,0.0388425140790989
"22","Romania",0.102016962500714,0.0850462519999358,0.242580953688971,0.422762145547615,0.0924552378898066,0.237140250161579,0.0658449557341538,0.0580941391179536
"23","Slovenia",0.0208767240087357,0.198082379474711,0.0252615572458992,0.13052187816713,0.0133364208761275,0.0267459985552979,0.015460082252849,0.0158492713609186
"24","Spain",0.383621762576105,0.244091385754571,0.568573373670748,0.0708496987346283,0.304184892952028,0.943963141086568,0.25647701943302,0.201365684024794
"25","Sweden",0.149265455234726,0.48875877037833,0.119960736282718,0.275471196287675,0.0473856863355943,0.180136296239973,0.11209354299438,0.0935961527033699
"26","United Kingdom",0.58050200665492,0.430530071260939,0.797146780884324,0.0664106902324982,0.402032523270285,0.393049271946166,0.462505395881079,0.342621357947377
