"","GEO","Total_energy_supply","GDPpc","Population","Inflation","Verified_emissions","Agriculture","Industry","Manufacturing"
"1","Austria",0.818789945700552,0.934012839978214,0.873550953728013,0.221016192750146,0.867076417669815,0.417567159205957,0.679230346762831,0.649875049940137
"2","Belgium",0.861501520692892,0.930230294014123,0.886817101209681,0.181819822994888,0.892411295926751,0.305131689647169,0.667305532891738,0.636471856626719
"3","Bulgaria",0.777305864567277,0.731610841041747,0.869620480778219,0.563178176037979,0.912610420391438,0.239233529484173,0.393883975857822,0.340346569262637
"4","Cyprus",0.605873517589903,0.895854559434473,0.759427199350816,0.176325464863546,0.772844079038137,-0.202293168106411,0.163902352139423,0.0467675774354636
"5","Denmark",0.773523101241036,0.955178432399798,0.850644842638616,0.252664328673352,0.855488020362045,0.409768469989016,0.624242141705719,0.596704718322619
"6","Estonia",0.675550404466692,0.818503689007277,0.774588208401236,0.50752932325112,0.818408933088563,-0.104941993760676,0.280279275006615,0.21008845325552
"7","Finland",0.820369876825682,0.935468777658677,0.848861490526716,0.0815454772268835,0.866664542645453,0.501476524224092,0.603151448042349,0.55870481048022
"8","France",0.98265413538378,0.925194406504467,0.98538233024824,0.169134346152452,0.935621474629422,1,0.875859738988363,0.841134374439255
"9","Germany",1,0.924548530058339,1,0.0356631687526006,1,0.880567844437923,1,1
"10","Greece",0.810253092736698,0.886912831123979,0.889417759037243,0.195393916909747,0.905051021838557,0.553683449356403,0.482695573776587,0.430698699500527
"11","Hungary",0.804850093358238,0.825157844119404,0.884727847106816,0.228880955328805,0.854890705263553,0.44734721391151,0.527209365723278,0.505463423790762
"12","Ireland",0.753296330765683,0.958964002129192,0.836134336299643,0.26724411311298,0.847212588135907,0.359301195018052,0.734332015344393,0.761698027296665
"13","Italy",0.95304334716152,0.917993108324831,0.980660958724767,0.175552857458103,0.962814084097733,0.971654627192955,0.868102353216019,0.860180074261842
"14","Latvia",0.661114065815899,0.790584563032766,0.802145037298792,0.936561229541933,0.744003887432525,0.0790574909941279,0.270631559598009,0.198151438013365
"15","Lithuania",0.714465123306314,0.793561286995466,0.823803349640851,0.587209427769505,0.785986197491418,0.158361199882716,0.382271826012619,0.333183189618495
"16","Luxembourg",0.658268033624771,1,0.715941227770485,0.414925952919029,0.739394272053533,-0.513060144457705,0.30412990236611,0.185740077042547
"17","Malta",0.529460764507732,0.855891046880983,0.708185373581195,0.169232685609267,0.725473270185168,-0.754100539337283,0.099820840621632,0.0169579606033179
"18","Netherlands",0.886650369561976,0.941890321675171,0.911123007523662,0.173666446471751,0.911055558097014,0.717320691459602,0.735072447717532,0.700961064358128
"19","Poland",0.89778841681708,0.795419864897378,0.957729884136867,0.222855392373503,0.957481176727237,0.722618680406065,0.737347599041225,0.695857880183186
"20","Portugal",0.800371989088767,0.870686963817455,0.886946333884684,0.289137877026657,0.871457488871566,0.419367589878083,0.547381497595295,0.504172134909048
"21","Romania",0.829284546409351,0.746563292713943,0.925784433352852,1,0.912610420391438,0.615180713710952,0.607260790374916,0.565619325215186
"22","Slovenia",0.701120325101429,0.867417857394988,0.795970153007346,0.133090722589819,0.799902186302609,0.0316380056706751,0.398069339079619,0.367342323727986
"23","Spain",0.93126449487869,0.900917594348092,0.965100165572769,0.35445303083863,0.952424108439042,0.984579414063781,0.803559658567495,0.755365991204122
"24","Sweden",0.850877654959813,0.944878213253005,0.878652067147718,0.0603255629976671,0.839876595840076,0.541661726580643,0.684067645317874,0.638419506648737
"25","United Kingdom",0.966940527355897,0.94217929191617,0.982915318880951,0.272308175382051,0.966346241290332,0.750294505031424,0.888680264426113,0.836497365983586
