"","GEO","Total_energy_supply","GDPpc","Population","Inflation","Verified_emissions","Agriculture","Industry","Manufacturing"
"1","Austria",0.80660865444064,0.936895443381474,0.872239569309623,0.0377452919986133,NA,0.417567159205957,0.679230346762831,0.649875049940137
"2","Belgium",0.861890315900521,0.930965255861184,0.885765825984445,0.0555692909058897,NA,0.305131689647169,0.667305532891738,0.636471856626719
"3","Bulgaria",0.772407057515766,0.684816024219856,0.873315230353888,0.198395589055501,NA,0.239233529484173,0.393883975857822,0.340346569262637
"4","Cyprus",0.602738094342165,0.887105061879029,0.75485725534288,0.0754015938513671,NA,-0.202293168106411,0.163902352139423,0.0467675774354636
"5","Denmark",0.773080353723165,0.95745522237406,0.849976917479488,0.0828368761067007,NA,0.409768469989016,0.624242141705719,0.596704718322619
"6","Estonia",0.664314519688832,0.770115128020687,0.776404808762929,0.100809746139887,NA,-0.104941993760676,0.280279275006615,0.21008845325552
"7","Finland",0.816266708246611,0.935837078334358,0.84827150533544,0.0452602968711956,NA,0.501476524224092,0.603151448042349,0.55870481048022
"8","France",0.977070630483214,0.928199972601972,0.98354677209965,0.0429419743011192,NA,1,0.875859738988363,0.841134374439255
"9","Germany",1,0.93332516214209,1,-0.0136678356402231,NA,0.880567844437923,1,1
"10","Greece",0.802077775151042,0.870848282804288,0.888656617712038,0.0440221096964611,NA,0.553683449356403,0.482695573776587,0.430698699500527
"11","Hungary",0.795819002826734,0.781931407638853,0.885549806186709,0.254964614347216,NA,0.44734721391151,0.527209365723278,0.505463423790762
"12","Ireland",0.748997036434173,0.943112278114486,0.831387308158727,0.185343517172451,NA,0.359301195018052,0.734332015344393,0.761698027296665
"13","Italy",0.947287344372335,0.918253205016065,0.979848334589101,0.049493907573289,NA,0.971654627192955,0.868102353216019,0.860180074261842
"14","Latvia",0.648569571949937,0.752384152694442,0.805351033298413,0.0990230481094903,NA,0.0790574909941279,0.270631559598009,0.198151438013365
"15","Lithuania",0.699386644509784,0.750479110031209,0.826792947484527,0.035944366860181,NA,0.158361199882716,0.382271826012619,0.333183189618495
"16","Luxembourg",0.637552241066495,1,0.71254999728569,0.125521338182193,NA,-0.513060144457705,0.30412990236611,0.185740077042547
"17","Malta",0.512839174873789,0.857315288771786,0.706406706109869,-0.274412256467715,NA,-0.754100539337283,0.099820840621632,0.0169579606033179
"18","Netherlands",0.882154052388671,0.942688860126877,0.909937428617249,0.0936979800577763,NA,0.717320691459602,0.735072447717532,0.700961064358128
"19","Poland",0.895583854804629,0.779437053917538,0.958028295667556,0.165576396998699,NA,0.722618680406065,0.737347599041225,0.695857880183186
"20","Portugal",0.79492069289619,0.866555707171511,0.885972302142426,0.0936952565666938,NA,0.419367589878083,0.547381497595295,0.504172134909048
"21","Romania",0.825864373768283,0.686999815858106,0.928760951774327,1,NA,0.615180713710952,0.607260790374916,0.565619325215186
"22","Slovenia",0.690416640601805,0.855240354031687,0.795789264858128,0.15088745446241,NA,0.0316380056706751,0.398069339079619,0.367342323727986
"23","Spain",0.919935109580134,0.889403228009257,0.961244082818961,0.0912545231149019,NA,0.984579414063781,0.803559658567495,0.755365991204122
"24","Sweden",0.845451997342664,0.954020973564152,0.877837779192606,0.0416380183802449,NA,0.541661726580643,0.684067645317874,0.638419506648737
"25","United Kingdom",0.967670850996299,0.949529378451984,0.981696303971709,0.0467128642188034,NA,0.750294505031424,0.888680264426113,0.836497365983586
