"","GEO","Total_energy_supply","GDPpc","Population","Inflation","Verified_emissions","Agriculture","Industry","Manufacturing"
"1","Austria",0.821465657519412,0.925930992294644,0.874852277184812,0.191315924208063,0.865134833965155,0.435000008838891,0.675826166080789,0.640892416770707
"2","Belgium",0.864871422125392,0.92079046202917,0.889369258914091,0.412535110064545,0.889348237118316,0.360017099773161,0.67666881516336,0.639213477677105
"3","Bulgaria",0.769927176058251,0.760351769938691,0.868102345024004,0.167559954276964,0.869192940043789,0.188781513641406,0.365452733627893,0.699024299913083
"4","Cyprus",0.614940593293249,0.890347379247551,0.764138482156058,0.40998710934881,0.77430321356479,-0.164669324278043,0.193034827778267,0.041580740928509
"5","Denmark",0.777568200068875,0.944272410616797,0.852322293980496,0.698384525001522,0.855006177733664,0.360903035997841,0.608979958539422,0.546827077923411
"6","Estonia",0.683133780528452,0.825832704490922,0.773994537246026,0.397469075837961,0.827199847969317,-0.125917938011988,0.228892441853383,0.151015304285836
"7","Finland",0.82612800892604,0.925196545484297,0.850467621803526,0.0709590040159733,0.879652641638323,0.477756033561565,0.613330461875639,0.575866606142301
"8","France",0.982466369963783,0.913671378284784,0.987420907920384,0.234178446000381,0.931260573596847,1,0.9031290522361,0.861774960265835
"9","Germany",1,0.915543822147066,1,0.141561906406193,1,0.881931357855299,1,1
"10","Greece",0.804854669181113,0.877480711433781,0.890494872434423,-0.0389055074142517,0.898339407443593,0.584062747944731,0.55619090703986,0.48498759149086
"11","Hungary",0.801061666253999,0.816934284490601,0.884661647118322,0.550691437844611,0.850273909306878,0.367859719704695,0.514476502760114,0.487953112809965
"12","Ireland",0.753048884757459,0.929087277929872,0.841563289218527,-0.664718884881673,0.836220795866418,0.212813155305369,0.578972655829343,0.578997120923149
"13","Italy",0.949415651397918,0.903239580577024,0.982339434886321,0.0958292468069688,0.956601732564225,0.974372948093078,0.902178638372122,0.878270261990579
"14","Latvia",0.662150138152974,0.804321722364825,0.798939507603784,-0.0759760558130664,0.751981600223924,-0.00430652537391974,0.233087966482097,0.161278567166784
"15","Lithuania",0.697084580792112,0.808489320988461,0.82033155729611,0.550645888966206,0.786077849424007,0.0285846421979539,0.333721926636038,0.282125584675298
"16","Luxembourg",0.656757066949495,1,0.72099505711104,1,0.733747114100113,-0.475318240887601,0.267311656798179,0.158783126359739
"17","Malta",0.529552668549868,0.859969492986958,0.709945030544467,0.685933797262146,0.724630628711685,-0.572867611462497,0.0674945392427181,0.0012245740317006
"18","Netherlands",0.891069516898363,0.933138369992489,0.912529703996584,0.206007623549954,0.915704993140651,0.72751543634562,0.750970795972191,0.689788404899018
"19","Poland",0.906832697393385,0.812867990948035,0.957996473573547,0.360379866809988,0.958714434332035,0.702983744011828,0.723738308592358,0.660231137245102
"20","Portugal",0.792033818182677,0.862772480977961,0.887720217838412,0.14090916479019,0.852775082720138,0.403001144852524,0.566902062081815,0.510001735977895
"21","Romania",0.823000907056706,0.775947363988908,0.923379100844129,0.77693299158162,0.886506182115311,0.565519743085633,0.608423712522829,0.560039727157897
"22","Slovenia",0.699212068623027,0.866555911854886,0.79764287275435,-0.22771559649037,0.798126275799083,-0.0234844865379108,0.373801227089257,0.327712534577653
"23","Spain",0.924781667091706,0.888973580437333,0.969105060417484,0.0337333110245231,0.933775381810427,0.942556034803239,0.850938999708045,0.781991455279185
"24","Sweden",0.851040905363414,0.936237247399368,0.881137542916125,0.207566914986955,0.849547574371686,0.552956101976751,0.700061058418604,0.659124300584483
"25","United Kingdom",0.961331662571095,0.911551705232782,0.985478429681178,0.300822923394323,0.967370291351828,0.722093901097003,0.903120419093154,0.84012492875931
