"","GEO","Total_energy_supply","Inflation","GDPpc","Population","verified_emisions","Agriculture","Industry","Manufacturing"
"1","Austria",0.822878811016608,0.298821145665534,0.924804367997887,0.876629241715996,0.863542676863497,0.417567159205957,0.679230346762831,0.649875049940137
"2","Belgium",0.859147645060996,0.172773184239138,0.918332375196188,0.891411943648071,0.884093600321872,0.305131689647169,0.667305532891738,0.636471856626719
"3","Bulgaria",0.777072855223257,0.382690136916138,0.766401203558028,0.866986269835485,0.872548216898183,0.239233529484173,0.393883975857822,0.340346569262637
"4","Croatia",0.714498496886967,0.0103446253520044,0.811603706363621,0.83770444322923,0.798822289904619,0.161653791334999,0.36024724079056,0.295305532387159
"5","Cyprus",0.60324668988953,-0.0979259337564226,0.869856059476678,0.749460192622945,0.766185229602058,-0.202293168106411,0.163902352139423,0.0467675774354636
"6","Denmark",0.767399904525581,0.0562402891981339,0.940925510126153,0.853752825613938,0.832209479703275,0.409768469989016,0.624242141705719,0.596704718322619
"7","Estonia",0.670377165536169,0.134599440948714,0.844220388432977,0.773607644361177,0.816642767197422,-0.104941993760676,0.280279275006615,0.21008845325552
"8","Finland",0.82044624998658,0.209961886644846,0.922033558484829,0.851898347040293,0.856359441409119,0.501476524224092,0.603151448042349,0.55870481048022
"9","France",0.9843160039045,0.147820936319996,0.90862459253017,0.989001312698607,0.92481748945856,1,0.875859738988363,0.841134374439255
"10","Germany",1,0,0.918532351291736,1,1,0.880567844437923,1,1
"11","Greece",0.795177112995558,-0.0381458738410023,0.847543331733861,0.889526826713973,0.889110806688037,0.553683449356403,0.482695573776587,0.430698699500527
"12","Hungary",0.800956672320677,0.360582624735916,0.8171277983254,0.884208091222221,0.845312906298021,0.44734721391151,0.527209365723278,0.505463423790762
"13","Ireland",0.751582702753643,1,0.95408868988787,0.84328838078963,0.85427462843822,0.359301195018052,0.734332015344393,0.761698027296665
"14","Italy",0.943908128041826,0.121018292020922,0.89200286130485,0.984111519029851,0.946003235484359,0.971654627192955,0.868102353216019,0.860180074261842
"15","Latvia",0.661140568315711,0.0150563596629069,0.824083915372632,0.796253380449355,0.741244676528435,0.0790574909941279,0.270631559598009,0.198151438013365
"16","Lithuania",0.701346330148506,0.00827029028382164,0.82702783439958,0.817439215803061,0.789051610087431,0.158361199882716,0.382271826012619,0.333183189618495
"17","Luxembourg",0.650203781791485,0.288198288145692,1,0.727030133088461,0.724621663159906,-0.513060144457705,0.30412990236611,0.185740077042547
"18","Malta",0.511229742876275,0.548054021538176,0.875272130476422,0.713460648618203,0.699059126224905,-0.754100539337283,0.099820840621632,0.0169579606033179
"19","Netherlands",0.885147891441432,0.100351835565573,0.926734228309138,0.913820873426106,0.921203593625714,0.717320691459602,0.735072447717532,0.700961064358128
"20","Poland",0.906627653735961,0.126494093390967,0.81615574415537,0.958316794202098,0.95757322814483,0.722618680406065,0.737347599041225,0.695857880183186
"21","Portugal",0.792682812032942,0.262326582156176,0.852946686594832,0.887027326636004,0.861401536090112,0.419367589878083,0.547381497595295,0.504172134909048
"22","Romania",0.819478880730064,0.422762145547615,0.786915318893318,0.922709711709109,0.880691895089426,0.615180713710952,0.607260790374916,0.565619325215186
"23","Slovenia",0.69400990163289,0.13052187816713,0.860015785494615,0.798335986955227,0.783671958692491,0.0316380056706751,0.398069339079619,0.367342323727986
"24","Spain",0.924228627732162,0.0708496987346283,0.878073693928544,0.969333094334484,0.940365778751229,0.984579414063781,0.803559658567495,0.755365991204122
"25","Sweden",0.849577689328404,0.275471196287675,0.93810481960507,0.883601860541574,0.847199649870149,0.541661726580643,0.684067645317874,0.638419506648737
"26","United Kingdom",0.95698857231774,0.0664106902324982,0.927137266548431,0.987659191543204,0.954340695351551,0.750294505031424,0.888680264426113,0.836497365983586
