"","GEO","Total_energy_supply","GDPpc","Population","Inflation","Verified_emissions","Agriculture","Industry","Manufacturing"
"1","Austria",0.827253387568672,0.929964107992339,0.877372648572907,0.244815969036085,NA,0.417567159205957,0.679230346762831,0.649875049940137
"2","Belgium",0.864949447692943,0.923714519254213,0.891498731375561,0.270573329551398,NA,0.305131689647169,0.667305532891738,0.636471856626719
"3","Bulgaria",0.779862165304065,0.790421336280238,0.86413739251408,0.776367754926257,NA,0.239233529484173,0.393883975857822,0.340346569262637
"4","Cyprus",0.614556698824045,0.883566576279575,0.767550419188028,0.169841581190203,NA,-0.202293168106411,0.163902352139423,0.0467675774354636
"5","Denmark",0.7690352975286,0.945113221558827,0.854151357761283,0.112457567124174,NA,0.409768469989016,0.624242141705719,0.596704718322619
"6","Estonia",0.671205525519788,0.864512699240397,0.773126308396226,0.477465204054766,NA,-0.104941993760676,0.280279275006615,0.21008845325552
"7","Finland",0.82623628653215,0.927377915618382,0.851317725213079,0.225769206410559,NA,0.501476524224092,0.603151448042349,0.55870481048022
"8","France",0.98440721018029,0.911826693176106,0.988398492031905,0.193241859159523,NA,1,0.875859738988363,0.841134374439255
"9","Germany",1,0.924074810556394,1,0.309406866325098,NA,0.880567844437923,1,1
"10","Greece",0.794678057405756,0.84722389444201,0.887707790228553,0.0377486858222773,NA,0.553683449356403,0.482695573776587,0.430698699500527
"11","Hungary",0.807706720757675,0.835716499432033,0.882617410260309,0.708099509880749,NA,0.44734721391151,0.527209365723278,0.505463423790762
"12","Ireland",0.756556614977282,0.971103301669574,0.845151181044468,0.629389421236363,NA,0.359301195018052,0.734332015344393,0.761698027296665
"13","Italy",0.946209778261946,0.895797626551555,0.981895669581491,0.139319697537169,NA,0.971654627192955,0.868102353216019,0.860180074261842
"14","Latvia",0.667115138565931,0.84162497298431,0.793213029390438,0.386722459027427,NA,0.0790574909941279,0.270631559598009,0.198151438013365
"15","Lithuania",0.70966895402416,0.849186440688778,0.813964948142178,0.398445851713413,NA,0.158361199882716,0.382271826012619,0.333183189618495
"16","Luxembourg",0.656803016085571,1,0.731402917395138,0.0875230916742872,NA,-0.513060144457705,0.30412990236611,0.185740077042547
"17","Malta",0.523685281939146,0.889202120761198,0.720050218058635,0.356911700260982,NA,-0.754100539337283,0.099820840621632,0.0169579606033179
"18","Netherlands",0.88731645043697,0.933921520788189,0.91408705447666,0.454424196991525,NA,0.717320691459602,0.735072447717532,0.700961064358128
"19","Poland",0.917142452280291,0.830403137913038,0.957046196953737,0.478209033149733,NA,0.722618680406065,0.737347599041225,0.695857880183186
"20","Portugal",0.794709776506735,0.864266053986709,0.885434780410792,0.26379202120405,NA,0.419367589878083,0.547381497595295,0.504172134909048
"21","Romania",0.825455703212813,0.813342741328568,0.920147415649356,1,NA,0.615180713710952,0.607260790374916,0.565619325215186
"22","Slovenia",0.698814726819503,0.87338560919797,0.797999785506401,0.330934644507714,NA,0.0316380056706751,0.398069339079619,0.367342323727986
"23","Spain",0.929011679347864,0.884585639629938,0.968909623884825,0.197155810751787,NA,0.984579414063781,0.803559658567495,0.755365991204122
"24","Sweden",0.856408037149051,0.933037887868163,0.885395443335585,0.382530415846483,NA,0.541661726580643,0.684067645317874,0.638419506648737
"25","United Kingdom",0.955619642703352,0.91694794024,0.98806100153611,0.303451140076975,NA,0.750294505031424,0.888680264426113,0.836497365983586
