"","GEO","Total_energy_supply","GDPpc","Population","Inflation","Verified_emissions","Agriculture","Industry","Manufacturing"
"1","Austria",0.82247755248679,0.92822218736364,0.875928487660522,0.287081166837431,0.865045201267074,0.435000008838891,0.675826166080789,0.640892416770707
"2","Belgium",0.862828510993357,0.921238823745131,0.890989853825486,0.283029056688414,0.885725441865833,0.360017099773161,0.67666881516336,0.639213477677105
"3","Bulgaria",0.778691772442616,0.767356373556868,0.868634176663146,0.937564544763653,0.878487092020917,0.188781513641406,0.365452733627893,0.699024299913083
"4","Cyprus",0.615192690157107,0.888656011292048,0.765516880503994,0.253481776520601,0.769938148045086,-0.164669324278043,0.193034827778267,0.041580740928509
"5","Denmark",0.774763290937719,0.943854198263207,0.853416576491085,0.100593871395107,0.847252626594136,0.360903035997841,0.608979958539422,0.546827077923411
"6","Estonia",0.683766747724219,0.835901804582078,0.774616032836918,0.842086141583644,0.828623864282901,-0.125917938011988,0.228892441853383,0.151015304285836
"7","Finland",0.826379390548897,0.927732867584038,0.851588486866098,0.409210848427411,0.871908068470925,0.477756033561565,0.613330461875639,0.575866606142301
"8","France",0.984972959108969,0.914555071728782,0.988692308458902,0.149085669454816,0.927198776043362,1,0.9031290522361,0.861774960265835
"9","Germany",1,0.91995751847466,1,0.168096350862628,1,0.881931357855299,1,1
"10","Greece",0.805739798040574,0.868120470655568,0.891320527446873,0.150816448390168,0.897857864699774,0.584062747944731,0.55619090703986,0.48498759149086
"11","Hungary",0.802832674917909,0.818324221728361,0.885406964486678,0.302654115573508,0.849547451279343,0.367859719704695,0.514476502760114,0.487953112809965
"12","Ireland",0.749666381217197,0.929435801444367,0.84265998394115,0.23477374249007,0.831780145257848,0.212813155305369,0.578972655829343,0.578997120923149
"13","Italy",0.950773432787495,0.903757337889967,0.983434406982127,0.251937652013829,0.956677502421303,0.974372948093078,0.902178638372122,0.878270261990579
"14","Latvia",0.660399617600106,0.812729693821025,0.798752835588097,1,0.747195696643791,-0.00430652537391974,0.233087966482097,0.161278567166784
"15","Lithuania",0.702870072352637,0.819141627555215,0.819926192445803,0.823530625593365,0.779874719209754,0.0285846421979539,0.333721926636038,0.282125584675298
"16","Luxembourg",0.658652520593349,1,0.722950546221988,0.535873847835921,0.729437160997326,-0.475318240887601,0.267311656798179,0.158783126359739
"17","Malta",0.531324138534296,0.8599224073963,0.710900878781715,0.176601936055946,0.72639650664514,-0.572867611462497,0.0674945392427181,0.0012245740317006
"18","Netherlands",0.889158767734387,0.932738256396991,0.913715354328025,0.0305701932547525,0.913256245466456,0.72751543634562,0.750970795972191,0.689788404899018
"19","Poland",0.910720008177575,0.816129007705569,0.959001706771757,0.508526063965721,0.960016568641852,0.702983744011828,0.723738308592358,0.660231137245102
"20","Portugal",0.793161990678543,0.860150248275489,0.888543522965488,-0.0419488979930873,0.854923290043238,0.403001144852524,0.566902062081815,0.510001735977895
"21","Romania",0.828198255604931,0.780001200844954,0.92404929327289,0.584667708112198,0.890917460657,0.565519743085633,0.608423712522829,0.560039727157897
"22","Slovenia",0.702090314498033,0.866917190876223,0.798569381119053,0.163488472483474,0.797683374491202,-0.0234844865379108,0.373801227089257,0.327712534577653
"23","Spain",0.927922108849212,0.886737004084185,0.970287295645012,-0.00312120756278848,0.938670275694075,0.942556034803239,0.850938999708045,0.781991455279185
"24","Sweden",0.855170584371885,0.942460254081172,0.882449850926333,0.171047135300635,0.843335309653949,0.552956101976751,0.700061058418604,0.659124300584483
"25","United Kingdom",0.959007841453358,0.911448922308609,0.986911486571152,0.323337167320808,0.964246214414937,0.722093901097003,0.903120419093154,0.84012492875931
