Free Allocation,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.0,0.0,96.66192252182556,"(11.590294724722236, 7.969434183487138, 2.230751148812899, 3.1034682114644427, 3.6494971947133408, 2.9954734023246274, 2.852492693370358, 1.533895172825282, 1.4397552515562961)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.0526315789473684,117.32890163656192,96.66472519939366,"(11.590555639643247, 7.952356789284364, 2.2192799374929306, 3.44850168612428, 4.056595252035944, 3.3310784515427643, 3.135418934434669, 48.41018411023896, 72.68976360667824)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 46.43869565961954, 70.8902059769424)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1052631578947368,234.65780327312385,96.66472519940297,"(11.590556719820457, 7.952357869461687, 2.219281017670145, 3.4327277216796985, 4.038292941272556, 14.547560872523034, 75.54070490935666, 75.54070549706606, 77.4001054159502)","(1.0801772140121032e-06, 1.0801772140121032e-06, 1.0801772140121032e-06, 0.0, 0.0, 11.246430846812657, 73.33571014737299, 74.05839674379017, 76.01726553514814)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1578947368421052,351.9867049096858,96.6647251993936,"(11.590555639643243, 7.952356789284463, 2.21927993749293, 3.267462567634072, 3.8411730329416165, 131.95549563392683, 76.02555756933631, 76.0255575873066, 76.0255579509197)","(0.0, 0.0, 0.0, 0.0, 0.0, 128.98770763678127, 73.82056280735262, 74.54324883403072, 74.63518563152115)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2105263157894736,469.3156065462477,96.66472519939366,"(11.590555639643249, 7.952356789284364, 2.2192799374929306, 64.97574759122575, 3.636847376894441, 187.04373435763836, 76.02556923186796, 76.02556352751994, 76.02560965517364)","(0.0, 0.0, 0.0, 61.97791357691062, 0.0, 184.33862638943376, 73.82057446988425, 74.54325477424406, 74.63523733577509)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.2631578947368421,586.6445081828097,96.66472522726735,"(11.590555639643243, 7.952356791045516, 2.219279935732019, 161.16715824419003, 49.85127498436382, 161.16715734774482, 76.02555725476348, 76.02555727543711, 76.0255588247182)","(0.0, 0.0, 0.0, 158.5187788522983, 46.51655551075952, 158.61017629949043, 73.82056249277977, 74.54324852216068, 74.63518650532058)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.3157894736842105,703.9734098193716,91.51527707445166,"(21.211807311907215, 21.211807320685303, 21.21180731190577, 146.21180731549376, 146.21180731408802, 146.21180748514038, 78.5075684926451, 78.50756721536777, 78.50756827351721)","(10.100638907559219, 13.596806971119868, 19.063004364474427, 143.65345429055853, 143.2020479378414, 143.74226527822236, 76.37824244739396, 77.07351369542673, 77.16343609783166)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.3684210526315789,821.3023114559335,84.49234818261243,"(38.76912956251125, 38.76912953717753, 38.76912953719989, 163.76912954351977, 163.7691295435183, 163.76912954462313, 81.87449699810249, 81.87594294725336, 81.87449700049059)","(28.328708193659104, 31.626619401704964, 36.71919244571764, 161.33908160381003, 160.90749289468516, 161.42172303415597, 79.85201748337394, 80.51103621215739, 80.59644018664059)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.4210526315789473,938.6312130924954,77.46280661487752,"(56.34298346280678, 56.342983462806, 56.3429834628061, 181.34298346280633, 181.34298346280684, 181.34298346280661, 85.14734785747147, 85.26435400737915, 85.13821078563944)","(46.60088398625891, 49.69221042515938, 54.3961477897766, 179.04674874199182, 178.63576975157758, 179.1228250072433, 83.23602589197048, 83.97147581257242, 83.92912568594586)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.4736842105263157,1055.9601147290573,69.36843363359189,"(100.84135250414461, 100.8413525041447, 3.791606151647005, 203.55348182544952, 195.6552181877343, 203.5534818254493, 77.47744540493937, 125.40695160206337, 72.32909094292684)","(91.94223008111618, 94.78454829458794, 1.8201177010275862, 201.41924895748224, 193.11595602363468, 201.48748014338508, 75.7003018764104, 124.48700548574435, 71.20322616566872)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
