Free Allocation,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.0,3074.5501702327088,29.087066650390625,"(93.51057233111973, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.45003101862352, 52.50692412407102, 52.497912317957514, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 87.7777321537076, 87.7777321537076, 87.7777321537076, 155.12134484087642, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.460694437400875, 52.42849820939789, 52.391820854997185, 52.33688315086482, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(87.87408624793497, 86.46622770085366, 86.26749815728596, 143.05388273577, 138.5607993122832, 142.85738502313853, 50.56968398954622, 50.98153193634019, 50.95649887399031, 104.27929055899459, 103.24320171062494, 95.3524333122808, 154.48093113293055, 162.37169953127471, 165.27371165811408, 84.89697791890215, 85.8973851246303, 86.25233996597677, 86.25233996597677, 153.2409978117991, 152.24059060607098, 144.34982220772682, 152.24059060607098, 50.580347408323576, 50.90310602166706, 50.511473825919886, 49.45612891605937, 95.3524333122808, 103.24320171062494, 104.2436089163531)","(967.687040822282, 807.038335107443, 816.196369545466, 2262.74257497058, 2326.29086559510, 2265.05073483529, 1631.96192553145, 1629.36604056329, 1628.61620094241, 5616.42777341419, 5633.07615332416, 5742.01048752030, 11451.7159102662, 11342.7792007181, 12188.7857362851, 838.003615375270, 822.162457586375, 816.537926158160, 816.536581975688, 2396.26647516542, 2412.10616841136, 2521.04154384504, 2412.10530549426, 1631.73272210752, 1624.31335767229, 1627.90512477934, 1640.67380326039, 5741.99288979955, 5633.05926643795, 5617.21859196620)"
0.010101010101010102,3074.5501702327088,29.087066650390625,"(93.51057233111973, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.45003101862352, 52.50692412407102, 52.497912317957514, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 87.7777321537076, 87.7777321537076, 87.7777321537076, 155.12134484087642, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.460694437400875, 52.42849820939789, 52.391820854997185, 52.33688315086482, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(87.87408624793497, 86.46622770085366, 86.26749815728596, 143.05388273577, 138.5607993122832, 142.85738502313853, 50.56968398954622, 50.98153193634019, 50.95649887399031, 104.27929055899459, 103.24320171062494, 95.3524333122808, 154.48093113293055, 162.37169953127471, 165.27371165811408, 84.89697791890215, 85.8973851246303, 86.25233996597677, 86.25233996597677, 153.2409978117991, 152.24059060607098, 144.34982220772682, 152.24059060607098, 50.580347408323576, 50.90310602166706, 50.511473825919886, 49.45612891605937, 95.3524333122808, 103.24320171062494, 104.2436089163531)","(995.161265568862, 832.828201224363, 841.986235662386, 2262.74257497058, 2326.29086559510, 2265.05073483529, 1631.96192553145, 1629.36604056329, 1628.61620094241, 5616.42777341419, 5633.07615332416, 5742.01048752030, 11451.7159102662, 11342.7792007181, 12188.7857362851, 863.793481492190, 847.952323703295, 842.327792275080, 842.326448092608, 2396.26647516542, 2412.10616841136, 2521.04154384504, 2412.10530549426, 1631.73272210752, 1624.31335767229, 1627.90512477934, 1640.67380326039, 5741.99288979955, 5633.05926643795, 5617.21859196620)"
0.020202020202020204,3074.5501702327088,29.56390380859375,"(87.7777321537076, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.29542840490692, 52.450269123950186, 52.35518240879212, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 87.7777321537076, 87.7777321537076, 93.51057233111973, 155.12134484087642, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.269564099097416, 52.246573830050195, 52.33710373896028, 52.34579530872355, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(82.05177631803137, 86.46622770085366, 86.26749815728596, 143.05388273577, 138.5607993122832, 142.85738502313853, 50.41508137582962, 50.924876936219356, 50.78261922418788, 104.27929055899459, 103.24320171062494, 95.3524333122808, 154.48093113293055, 162.37169953127471, 165.27371165811408, 84.89697791890215, 85.8973851246303, 86.25233996597677, 91.9851801433889, 153.2409978117991, 152.24059060607098, 144.34982220772682, 152.24059060607098, 50.389217070020116, 50.721181642319365, 50.45675670988298, 49.4650410739181, 95.3524333122808, 103.24320171062494, 104.2436089163531)","(929.967456355630, 818.233326424745, 827.486122493575, 2194.52916805694, 2260.21992781267, 2196.93102533252, 1622.60418981753, 1624.08501154250, 1619.50818851905, 5566.70353284461, 5583.84595841667, 5696.54290419192, 11378.0536620682, 11265.3543409410, 12109.9770892924, 849.946883299109, 833.628694181189, 827.834907095136, 879.521442116460, 2323.19547324863, 2339.51219782360, 2452.21018483638, 2339.51133490650, 1622.44500160362, 1614.30367962718, 1623.77313302083, 1640.59714728300, 5696.52530647117, 5583.82907153047, 5567.51136572969)"
0.030303030303030304,3074.5501702327088,29.56390380859375,"(87.7777321537076, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.29542840490692, 52.450269123950186, 52.35518240879212, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 87.7777321537076, 87.7777321537076, 93.51057233111973, 155.12134484087642, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.269564099097416, 52.246573830050195, 52.33710373896028, 52.34579530872355, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(82.05177631803137, 86.46622770085366, 86.26749815728596, 143.05388273577, 138.5607993122832, 142.85738502313853, 50.41508137582962, 50.924876936219356, 50.78261922418788, 104.27929055899459, 103.24320171062494, 95.3524333122808, 154.48093113293055, 162.37169953127471, 165.27371165811408, 84.89697791890215, 85.8973851246303, 86.25233996597677, 91.9851801433889, 153.2409978117991, 152.24059060607098, 144.34982220772682, 152.24059060607098, 50.389217070020116, 50.721181642319365, 50.45675670988298, 49.4650410739181, 95.3524333122808, 103.24320171062494, 104.2436089163531)","(956.180107162991, 844.445977232106, 853.698773300935, 2194.52916805694, 2260.21992781267, 2196.93102533252, 1622.60418981753, 1624.08501154250, 1619.50818851905, 5566.70353284461, 5583.84595841667, 5696.54290419192, 11378.0536620682, 11265.3543409410, 12109.9770892924, 876.159534106470, 859.841344988550, 854.047557902496, 907.446063990033, 2323.19547324863, 2339.51219782360, 2452.21018483638, 2339.51133490650, 1622.44500160362, 1614.30367962718, 1623.77313302083, 1640.59714728300, 5696.52530647117, 5583.82907153047, 5567.51136572969)"
0.04040404040404041,3074.5501702327088,30.040740966796875,"(87.7777321537076, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.24728820438112, 52.24284149154865, 52.09973593231735, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 87.7777321537076, 87.7777321537076, 93.51057233111973, 145.6113425005262, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.25558435618221, 52.262193495294284, 52.248451296746246, 52.25508027064319, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(82.05177631803137, 86.46622770085366, 86.26749815728596, 142.96946483563136, 138.5607993122832, 142.85738502313853, 50.36694117530382, 50.68731139113708, 50.52717274771311, 104.27929055899459, 103.14039304907523, 94.69929293466592, 153.82779075531568, 162.268890869725, 164.6205712804992, 84.79416925735244, 85.8973851246303, 86.22220205329603, 91.95504223070816, 143.73099547144892, 152.13778194452127, 143.69668183011194, 152.13778194452127, 50.37523732710491, 50.7066633948827, 50.368104267668954, 49.271517374288024, 94.69929293466592, 103.14039304907523, 104.2436089163531)","(944.958560887108, 831.119456503812, 840.467014203447, 2264.82021815576, 2332.62541082641, 2267.28773662592, 1619.79858316649, 1612.32841232993, 1607.62348040188, 5516.97929227502, 5534.65253487413, 5651.33152157276, 11304.6477159338, 11187.9662622101, 12031.4247450934, 863.618032555518, 846.786069537767, 840.824438268740, 893.311735650621, 2253.29807167531, 2414.47543831822, 2531.15551571804, 2414.47457423447, 1618.13809482989, 1612.57386068334, 1617.86262601972, 1635.00264159570, 5651.31368027219, 5534.63561430600, 5517.80413949318)"
0.05050505050505051,3074.5501702327088,30.040740966796875,"(87.7777321537076, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.24728820438112, 52.24284149154865, 52.09973593231735, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 87.7777321537076, 93.51057233111973, 93.51057233111973, 145.6113425005262, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.25558435618221, 52.262193495294284, 52.248451296746246, 52.25508027064319, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(82.05177631803137, 86.46622770085366, 86.26749815728596, 142.96946483563136, 138.5607993122832, 142.85738502313853, 50.36694117530382, 50.68731139113708, 50.52717274771311, 104.27929055899459, 103.14039304907523, 94.69929293466592, 153.82779075531568, 162.268890869725, 164.6205712804992, 84.79416925735244, 85.8973851246303, 91.95504223070816, 91.95504223070816, 143.73099547144892, 152.13778194452127, 143.69668183011194, 152.13778194452127, 50.37523732710491, 50.7066633948827, 50.368104267668954, 49.271517374288024, 94.69929293466592, 103.14039304907523, 104.2436089163531)","(921.272425427619, 807.433321044323, 816.780878743959, 2264.82021815576, 2332.62541082641, 2267.28773662592, 1619.79858316649, 1612.32841232993, 1607.62348040188, 5516.97929227502, 5534.65253487413, 5651.33152157276, 11304.6477159338, 11187.9662622101, 12031.4247450934, 839.931897096029, 823.099934078278, 868.079820673956, 868.078638043923, 2253.29807167531, 2414.47543831822, 2531.15551571804, 2414.47457423447, 1618.13809482989, 1612.57386068334, 1617.86262601972, 1635.00264159570, 5651.31368027219, 5534.63561430600, 5517.80413949318)"
0.06060606060606061,3074.5501702327088,30.040740966796875,"(87.7777321537076, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.24728820438112, 52.24284149154865, 52.09973593231735, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 87.7777321537076, 93.51057233111973, 93.51057233111973, 145.6113425005262, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.25558435618221, 52.262193495294284, 52.248451296746246, 52.25508027064319, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(82.05177631803137, 86.46622770085366, 86.26749815728596, 142.96946483563136, 138.5607993122832, 142.85738502313853, 50.36694117530382, 50.68731139113708, 50.52717274771311, 104.27929055899459, 103.14039304907523, 94.69929293466592, 153.82779075531568, 162.268890869725, 164.6205712804992, 84.79416925735244, 85.8973851246303, 91.95504223070816, 91.95504223070816, 143.73099547144892, 152.13778194452127, 143.69668183011194, 152.13778194452127, 50.37523732710491, 50.7066633948827, 50.368104267668954, 49.271517374288024, 94.69929293466592, 103.14039304907523, 104.2436089163531)","(947.907860925421, 834.068756542125, 843.416314241761, 2264.82021815576, 2332.62541082641, 2267.28773662592, 1619.79858316649, 1612.32841232993, 1607.62348040188, 5516.97929227502, 5534.65253487413, 5651.33152157276, 11304.6477159338, 11187.9662622101, 12031.4247450934, 866.567332593831, 849.735369576080, 896.454839674523, 896.453657044490, 2253.29807167531, 2414.47543831822, 2531.15551571804, 2414.47457423447, 1618.13809482989, 1612.57386068334, 1617.86262601972, 1635.00264159570, 5651.31368027219, 5534.63561430600, 5517.80413949318)"
0.07070707070707072,3074.5501702327088,30.040740966796875,"(87.7777321537076, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.24728820438112, 52.24284149154865, 52.09973593231735, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 93.51057233111973, 93.51057233111973, 93.51057233111973, 145.6113425005262, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.25558435618221, 52.262193495294284, 52.248451296746246, 52.25508027064319, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(82.05177631803137, 86.46622770085366, 86.26749815728596, 142.96946483563136, 138.5607993122832, 142.85738502313853, 50.36694117530382, 50.68731139113708, 50.52717274771311, 104.27929055899459, 103.14039304907523, 94.69929293466592, 153.82779075531568, 162.268890869725, 164.6205712804992, 84.79416925735244, 91.63022530204243, 91.95504223070816, 91.95504223070816, 143.73099547144892, 152.13778194452127, 143.69668183011194, 152.13778194452127, 50.37523732710491, 50.7066633948827, 50.368104267668954, 49.271517374288024, 94.69929293466592, 103.14039304907523, 104.2436089163531)","(924.221725465934, 810.382621082638, 819.730178782273, 2264.82021815576, 2332.62541082641, 2267.28773662592, 1619.79858316649, 1612.32841232993, 1607.62348040188, 5516.97929227502, 5534.65253487413, 5651.33152157276, 11304.6477159338, 11187.9662622101, 12031.4247450934, 842.881197134344, 877.183235944822, 871.221742067823, 871.220559437791, 2253.29807167531, 2414.47543831822, 2531.15551571804, 2414.47457423447, 1618.13809482989, 1612.57386068334, 1617.86262601972, 1635.00264159570, 5651.31368027219, 5534.63561430600, 5517.80413949318)"
0.08080808080808081,3074.5501702327088,30.040740966796875,"(87.7777321537076, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.24728820438112, 52.24284149154865, 52.09973593231735, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 87.7777321537076, 93.51057233111973, 93.51057233111973, 93.51057233111973, 145.6113425005262, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.25558435618221, 52.262193495294284, 52.248451296746246, 52.25508027064319, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(82.05177631803137, 86.46622770085366, 86.26749815728596, 142.96946483563136, 138.5607993122832, 142.85738502313853, 50.36694117530382, 50.68731139113708, 50.52717274771311, 104.27929055899459, 103.14039304907523, 94.69929293466592, 153.82779075531568, 162.268890869725, 164.6205712804992, 84.79416925735244, 91.63022530204243, 91.95504223070816, 91.95504223070816, 143.73099547144892, 152.13778194452127, 143.69668183011194, 152.13778194452127, 50.37523732710491, 50.7066633948827, 50.368104267668954, 49.271517374288024, 94.69929293466592, 103.14039304907523, 104.2436089163531)","(950.857160963736, 837.018056580440, 846.365614280075, 2264.82021815576, 2332.62541082641, 2267.28773662592, 1619.79858316649, 1612.32841232993, 1607.62348040188, 5516.97929227502, 5534.65253487413, 5651.33152157276, 11304.6477159338, 11187.9662622101, 12031.4247450934, 869.516632632146, 905.558254945389, 899.596761068390, 899.595578438357, 2253.29807167531, 2414.47543831822, 2531.15551571804, 2414.47457423447, 1618.13809482989, 1612.57386068334, 1617.86262601972, 1635.00264159570, 5651.31368027219, 5534.63561430600, 5517.80413949318)"
0.09090909090909091,3074.5501702327088,30.040740966796875,"(87.7777321537076, 87.7777321537076, 87.7777321537076, 145.6113425005262, 145.6113425005262, 145.6113425005262, 52.24728820438112, 52.24284149154865, 52.09973593231735, 106.1239559454304, 106.1239559454304, 106.1239559454304, 165.25245376608015, 165.25245376608015, 176.04523429126368, 93.51057233111973, 93.51057233111973, 93.51057233111973, 93.51057233111973, 145.6113425005262, 155.12134484087642, 155.12134484087642, 155.12134484087642, 52.25558435618221, 52.262193495294284, 52.248451296746246, 52.25508027064319, 106.1239559454304, 106.1239559454304, 106.1239559454304)","(82.05177631803137, 86.46622770085366, 86.26749815728596, 142.96946483563136, 138.5607993122832, 142.85738502313853, 50.36694117530382, 50.68731139113708, 50.52717274771311, 104.27929055899459, 103.14039304907523, 94.69929293466592, 153.82779075531568, 162.268890869725, 164.6205712804992, 90.52700943476457, 91.63022530204243, 91.95504223070816, 91.95504223070816, 143.73099547144892, 152.13778194452127, 143.69668183011194, 152.13778194452127, 50.37523732710491, 50.7066633948827, 50.368104267668954, 49.271517374288024, 94.69929293466592, 103.14039304907523, 104.2436089163531)","(927.171025504249, 813.331921120954, 822.679478820589, 2264.82021815576, 2332.62541082641, 2267.28773662592, 1619.79858316649, 1612.32841232993, 1607.62348040188, 5516.97929227502, 5534.65253487413, 5651.33152157276, 11304.6477159338, 11187.9662622101, 12031.4247450934, 897.157037841745, 880.325157338691, 874.363663461692, 874.362480831659, 2253.29807167531, 2414.47543831822, 2531.15551571804, 2414.47457423447, 1618.13809482989, 1612.57386068334, 1617.86262601972, 1635.00264159570, 5651.31368027219, 5534.63561430600, 5517.80413949318)"
