Percentage of BAU,Emission Cap,Permit Price,Outputs,Emissions,Profits,Firm,Sector,Sum of sector,price,sales,Abatement,Trades,Sum,Correct?
0.232323232,520.5079188,112.777343,"(10.46174829237667, 5.407455742261494, 5.052523029010587, 106.1239559454304, 106.1239559454304, 106.1239559454304, 73.81376495476161, 73.92000631988687, 74.08367502388576)","(4.000999995999999, 3.000999997, 3.000999997, 101.53533006471322, 86.27877709342509, 101.0708006406108, 70.93290290897193, 71.79267852402914, 71.91783885203695)","(510.569487410809, 164.472233454298, 167.930338121479, 1534.83801409571, 2442.85409026079, 1561.42394412180, 2636.60351801390, 2585.34172731430, 2598.93421805209)",-,-,,,,,,,
0.232323232,520.5079188,112.777343,10.46174829,4.000999996,510.5694874,1,1,20.92172706,97.90782729,1024.287045,180.4802262,3.140985634,840.6658332,0.392660594
0.232323232,520.5079188,112.777343,5.407455742,3.000999997,164.4722335,2,1,20.92172706,97.90782729,529.4322429,87.4990525,3.489444801,438.4437456,0.624872666
0.232323232,520.5079188,112.777343,5.052523029,3.000999997,167.9303381,3,1,20.92172706,97.90782729,494.6815521,45.28742021,3.654363031,445.7397689,0.623254756
0,520.5079188,112.777343,106.1239559,101.5353301,1534.838014,4,2,318.3718678,118.1628132,12539.90518,152.6013118,203.0706601,12184.23321,0.874030808
0,520.5079188,112.777343,106.1239559,86.27877709,2442.85409,5,2,318.3718678,118.1628132,12539.90518,965.1787434,172.5575542,11402.16889,0.785755314
0,520.5079188,112.777343,106.1239559,101.0708006,1561.423944,6,2,318.3718678,118.1628132,12539.90518,178.403776,202.1416013,12159.35981,0.871586665
,,,,,,7,3,,,,,,,
,,,,,,8,3,,,,,,,
,,,,,,9,3,,,,,,,
