Percentage of BAU,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.0,0.0,1000000000000.0,"(31.623776600683794, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 29.068965370321294, 15.014107288081737, 15.849931923611136)","(0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 0.000999998999999363)","(3161277563648.53, 7497997100737.22, 1424171672395.94, 3288695130468.40, 20306958981504.2, 3748505054729.28, 2905855543496.17, 1500359732571.67, 1583932196264.02)"
0.0101010101010101,22.630779076264965,218.73347577638924,"(7.630789462800997, 3.489988981178892, 3.1325978323884613, 6.398628947732095, 26.705736079720992, 6.783839562234995, 8.611890987983053, 8.091049322028853, 8.587421743375788)","(1.0009999990000003, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999989999994, 5.000999994999999, 5.6032600102040675, 5.994301941840494)","(407.164532361920, 68.9682161100289, 77.2231772721333, 504.561386976637, 2202.52713280141, 556.091230206160, 599.647167122780, 443.023579264517, 453.402001215537)"
0.0202020202020202,45.26155815252993,211.45751816220584,"(7.630789462800997, 3.489988981178892, 3.0921771174958157, 6.398628947732095, 26.705736079720992, 6.783839562234995, 15.835769023567714, 15.878324527912895, 15.826843455525443)","(1.0009999990000003, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999989999994, 12.22487803058466, 13.390535216088109, 13.285086750576449)","(408.926480053560, 73.7262552694068, 82.2520245405445, 509.516812890529, 2200.09487617735, 560.906517314869, 619.509870177138, 471.359812295419, 480.619848908898)"
0.0303030303030303,67.89233722879489,202.817318495363,"(7.630789462800997, 3.489988981178892, 3.0921771174958157, 6.398628947732095, 26.705736079720992, 6.783839562234996, 23.13300016894529, 23.40319707303956, 23.416917936884676)","(1.0009999990000003, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 19.61160050186041, 20.963610933137133, 20.87516123193568)","(410.982165454006, 79.3596749640296, 88.2291616283734, 515.401381163277, 2197.20657143628, 566.624670756462, 671.764091382659, 534.508575908189, 544.235976377658)"
0.0404040404040404,90.52311630505986,192.8128767758608,"(7.630789462800997, 3.489988981178892, 3.0921771174958157, 6.398628947732095, 26.705736079720992, 6.783839562234996, 30.63434717504998, 30.69783233108699, 31.14913218776761)","(1.0009999990000003, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 27.200220912407907, 28.25824619118456, 28.65772070511626)","(413.362432759784, 85.8825819788560, 95.1500572037541, 522.215091794879, 2193.86221857820, 573.245690530937, 770.008369012927, 642.120782673857, 654.720741648351)"
0.0505050505050505,113.15389538132484,181.89894035458565,"(8.630789461800996, 3.489988981178892, 3.0921771174958157, 6.398628947732095, 26.705736079720992, 6.783839562234996, 37.411037098460866, 37.98512709068598, 38.43086966899895)","(2.0009999979999993, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 33.97691083581881, 35.59281007815591, 35.98880570579426)","(424.790948259459, 92.6494816427158, 102.390907392729, 529.648230665717, 2190.21383364211, 580.468621194001, 909.469907508088, 802.463808496288, 818.579709765787)"
0.0606060606060606,135.78467445758977,169.62076188065112,"(8.630789461800996, 3.489988981178892, 3.0921771174958157, 6.398628947732095, 26.705736079720992, 6.783839562234996, 45.50358918127992, 45.26424046501098, 45.415082769442094)","(2.0009999979999993, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 42.154573996349335, 42.9182766345006, 43.02138911785057)","(438.762546022951, 100.654867524548, 110.884733780696, 538.010511895411, 2186.10940058901, 588.594418189949, 1135.16015777182, 1024.79711944952, 1033.92101478159)"
0.0707070707070707,158.41545353385476,157.79733075760305,"(8.630789461800996, 3.4074557442614934, 3.0921771174958157, 7.2261531399763275, 26.4095240706544, 7.783839561234995, 51.94774362930243, 51.80221186645557, 52.076378623045066)","(2.0009999979999993, 1.0009999989999998, 1.0009999989999998, 2.0009999979999993, 2.000999998000001, 2.0009999979999993, 48.68173016792863, 49.501703021097455, 49.68268497145354)","(452.287909901753, 108.425874709009, 119.089494744809, 555.983067108313, 2186.03932291917, 602.554818384253, 1371.57709162296, 1278.59539987855, 1292.65659047723)"
0.0808080808080808,181.0462326101197,151.43086784519255,"(8.630789461800996, 3.4074557442614934, 3.0921771174958157, 11.591535594779637, 27.4095240696544, 11.783839557234995, 55.349058704665474, 55.35176789879398, 55.298350568484786)","(2.0009999979999993, 1.0009999989999998, 1.0009999989999998, 6.366382452803309, 3.000999997000001, 6.000999993999999, 52.163989268545166, 53.051259053435864, 52.952069371901935)","(459.532442075416, 112.629360015813, 123.493701020052, 568.792937471069, 2169.47477098950, 613.104938423370, 1527.37219890114, 1438.23244612875, 1441.97274355091)"
0.0909090909090909,203.67701168638467,148.2476363889873,"(8.630789461800996, 3.4074557442614934, 3.0921771174958157, 20.484632507880853, 28.4095240686544, 21.822500669461256, 56.75495303196084, 56.991529271475564, 57.10080771200887)","(2.0009999979999993, 1.0009999989999998, 1.0009999989999998, 15.259479365904525, 4.000999996000001, 16.039661106226262, 53.56988359584053, 54.7355946204275, 54.75452651542602)","(463.154708162247, 114.731102669215, 125.695804157673, 583.131231739208, 2123.09755143985, 628.214653391492, 1595.97302399338, 1518.78126402158, 1528.05375694742)"
