Percentage of BAU,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.0,0.0,1000000000000.0,"(31.623776600683794, 74.99042093224558, 14.252026702029976, 65.7943224647568, 406.15959883669814, 74.99042093224558, 29.068965370321294, 15.014107288081737, 15.849931923611136)","(0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 0.0009999990000011394, 0.0009999989999869285, 0.0009999990000011394, 0.0009999990000011394, 0.000999998999999363, 0.000999998999999363)","(3161277563648.53, 7497997100737.22, 1424171672395.94, 3288695130468.40, 20306958981504.2, 3748505054729.28, 2905855543496.17, 1500359732571.67, 1583932196264.02)"
0.05263157894736842,117.91826992369639,179.62520360015333,"(8.630789461800996, 3.4899889811788913, 3.0921771174958157, 6.398628947732096, 26.705736079720992, 6.783839562234997, 39.42082227815855, 39.435502736474966, 39.448053828632744)","(2.0009999979999993, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 36.07180709322797, 37.043185723944895, 37.005989865428056)","(427.378281178624, 94.1319605097219, 103.963838205316, 531.196801263809, 2189.45375344709, 581.973398415473, 956.351404460704, 841.129034791178, 848.879737062227)"
0.10526315789473684,235.83653984739277,144.6096575818956,"(8.46174829437667, 3.407455744261494, 3.092177117495816, 31.897943312598386, 31.897943312598386, 31.897943312598386, 58.80205207485978, 58.848460099673375, 58.83566743567383)","(2.0009999979999993, 1.0009999989999998, 1.0009999989999998, 26.672790170622065, 7.489419239943992, 26.306853362442787, 55.61698263875722, 56.59252544861059, 56.53585980553534)","(467.307644300444, 117.190694302799, 128.264763980794, 618.638779863380, 2073.06400782746, 659.241125565621, 1695.11720607949, 1613.96780573441, 1619.06252482173)"
0.15789473684210525,353.7548097710891,131.42198440618813,"(8.46174829437667, 4.407455743261494, 4.092177116495815, 63.9738617073243, 63.9738617073243, 60.05182554182782, 65.30882281544254, 65.32128099919801, 65.31518023162319)","(2.0009999979999993, 2.000999998, 2.0009999979999993, 59.077304374672266, 41.96496421907151, 54.64612667877117, 62.279673450198224, 63.10905681748909, 63.06092587172958)","(480.844751541342, 135.170611062703, 139.240987513648, 860.612358472415, 2074.07320464920, 870.327647458909, 2058.29419070589, 1988.15921020968, 1992.60551675199)"
0.21052631578947367,471.67307969478554,117.32481652870774,"(9.461748293376672, 4.407455743261494, 4.052523030010587, 93.51057233111973, 99.61782917811763, 93.51057233111973, 71.8995591541808, 71.91703449617097, 71.91493264406844)","(3.000999997000001, 2.000999998, 2.000999998, 88.77048084014396, 78.7187739204835, 88.28411688150885, 68.94548403231903, 69.74767378896208, 69.70532948249702)","(502.798699057335, 156.742511394052, 161.319862672217, 1309.91903826950, 2348.79779246350, 1338.11429938737, 2493.33393215093, 2434.63947509968, 2438.45417470692)"
0.2631578947368421,589.5913496184819,106.4108801074326,"(13.461748289376668, 10.2138231807529, 9.587644335365333, 120.43872269922272, 120.43872269922272, 120.43872269922272, 76.8716216897433, 76.83832491794158, 76.76935605441851)","(7.000999992999999, 7.887164120665118, 7.536121303354746, 115.85009681850556, 101.59427591153633, 115.55312205626834, 73.99075964395361, 74.75221554649772, 74.60351988256971)","(523.388219155010, 181.609434851801, 184.485971038662, 1874.65052629942, 2687.34035558567, 1898.69772317886, 2862.76292783863, 2810.88546796945, 2812.11809687976)"
0.3157894736842105,707.5096195421783,98.68017514236271,"(28.106708588140673, 28.106708588140673, 28.106708588140673, 145.6113425005262, 136.68436915929485, 136.68436915929485, 80.18903682852286, 80.20349638029857, 80.20134947547558)","(21.8106912641993, 25.857200397232198, 26.094088138036106, 141.16934233903646, 118.7901909107824, 131.96076757395423, 77.3795733714627, 78.1578067338646, 78.07841359436415)","(541.407538353595, 232.444804345630, 238.038387654029, 2391.61627262182, 2967.27479248470, 2284.56988840426, 3138.87320028581, 3094.84019141942, 3097.75106010571)"
0.3684210526315789,825.4278894658746,87.31149137020111,"(52.9143547912282, 52.9143547912282, 52.9143547912282, 165.25245376608015, 165.25245376608015, 165.25245376608015, 7.267013457373799, 6.301508841358116, 171.79051594259917)","(46.93530683077662, 50.73943882507092, 50.9398990860895, 161.08979903841788, 149.11747009362216, 160.68547925768965, 4.000999995999999, 4.000999995999999, 169.75084637889972)","(687.623683989292, 423.220556838127, 431.428169252063, 3141.14398453300, 3697.50005155193, 3158.02262542351, 670.161480843389, 574.781745292263, 12330.9146184333)"
