Emission Cap,Permit Price,Outputs,Emissions,Profits
400.0,122.78178473934531,"(51.67134178467835, 4.327659058087782, 4.052523030010587, 72.60311987306747, 72.60311987306747, 77.34489251697599, 69.15939585927339, 69.47875849663663, 69.5290703532248)","(2.0009999979999975, 2.000999998, 2.000999998, 67.8630283820917, 51.70406461543334, 72.11843706736511, 66.13024649424737, 67.30939779589454, 67.31946719164972)","(2753.216903502577, 129.67369487231255, 135.53714787472674, 950.7362917682545, 2017.4698433620028, 1016.7685597503365, 2321.852111194443, 2258.6858765404986, 2263.651134331102)"
10000.0,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.88261250753877, 118.50165079633395, 118.18007012099285)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.38740150021592, 117.93915955356884, 117.62354138157602)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7812.729346531638, 7775.052681021205, 7735.6274329412445)"
