,id,name,price_demand_function,free_emission_multiplier,consumer_surplus
count,6.0,6,6,6.0,6
unique,,6,6,,6
top,,Steel,200 - 0.1*x,,110285.066266991
freq,,1,1,,1
mean,3.5,,,0.0,
std,1.8708286933869707,,,0.0,
min,1.0,,,0.0,
25%,2.25,,,0.0,
50%,3.5,,,0.0,
75%,4.75,,,0.0,
max,6.0,,,0.0,
